plan_id,project_id__hashed,plan_created_at,event_type,event_timestamp,plan_name,network_provider_id,price_currency,plan_price_amount_local,data_allowance_mb,is_unlimited_data,voice_allowance_seconds,is_unlimited_voice,sms_allowance,is_unlimited_sms,validity_value,validity_unit,_valid_from,_valid_to,_is_current_state
pln_b2a155624e05108d1a5b6b90f567,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2023-12-29 18:43:12,plan.updated,2023-12-29 18:44:37.573698,Unlimited Data Plan,p4,USD,70.000000000,,true,,true,,true,30,day,2023-12-29 18:44:37.573698,2023-12-29 18:44:37.846803,false
pln_b2a155624e05108d1a5b6b90f567,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2023-12-29 18:43:12,plan.archived,2024-01-21 15:48:13.444971,Unlimited Data Plan,p4,USD,70.000000000,,true,,true,,true,30,day,2024-01-21 15:48:13.444971,,true
pln_b2a155624e05108d1a5b6b90f567,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2023-12-29 18:43:12,plan.updated,2024-01-21 15:48:12.953812,Unlimited Data Plan,p4,USD,70.000000000,,true,,true,,true,30,day,2024-01-21 15:48:12.953812,2024-01-21 15:48:13.444971,false
pln_b2a155624e05108d1a5b6b90f567,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2023-12-29 18:43:12,plan.published,2023-12-29 18:44:37.846803,Unlimited Data Plan,p4,USD,70.000000000,,true,,true,,true,30,day,2023-12-29 18:44:37.846803,2024-01-21 15:48:12.953812,false
pln_b2a155624e05108d1a5b6b90f567,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2023-12-29 18:43:12,plan.created,2023-12-29 18:43:12.010884,Unlimited Data Plan,p4,USD,70.000000000,,true,,true,,true,30,day,2023-12-29 18:43:12,2023-12-29 18:44:37.573698,false
pln_1d3f49d61a672755efc1865c4d9a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2024-01-21 15:48:11,plan.updated,2024-08-01 17:22:46.635276,Unlimited Data Plan,p9,USD,70.000000000,,true,,true,,true,1,month,2024-08-01 17:22:46.635276,2024-08-22 07:57:45.033593,false
pln_1d3f49d61a672755efc1865c4d9a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2024-01-21 15:48:11,plan.published,2024-01-21 15:52:35.585659,Unlimited Data Plan,p9,USD,70.000000000,,true,,true,,true,1,month,2024-01-21 15:52:35.585659,2024-01-21 17:09:05.523869,false
pln_1d3f49d61a672755efc1865c4d9a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2024-01-21 15:48:11,plan.updated,2024-01-21 17:09:05.523869,Unlimited Data Plan,p9,USD,70.000000000,,true,,true,,true,1,month,2024-01-21 17:09:05.523869,2024-01-24 17:53:36.789666,false
pln_1d3f49d61a672755efc1865c4d9a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2024-01-21 15:48:11,plan.updated,2024-01-21 15:52:35.542929,Unlimited Data Plan,p9,USD,70.000000000,,true,,true,,true,1,month,2024-01-21 15:52:35.542929,2024-01-21 15:52:35.585659,false
pln_1d3f49d61a672755efc1865c4d9a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2024-01-21 15:48:11,plan.archived,2025-10-04 10:09:40.396422,Unlimited Data Plan,p9,USD,70.000000000,,true,,true,,true,1,month,2025-10-04 10:09:40.396422,,true
pln_1d3f49d61a672755efc1865c4d9a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2024-01-21 15:48:11,plan.updated,2024-01-24 17:53:36.789666,Unlimited Data Plan,p9,USD,70.000000000,,true,,true,,true,1,month,2024-01-24 17:53:36.789666,2024-08-01 17:22:46.635276,false
pln_1d3f49d61a672755efc1865c4d9a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2024-01-21 15:48:11,plan.updated,2025-10-04 10:09:40.349041,Unlimited Data Plan,p9,USD,70.000000000,,true,,true,,true,1,month,2025-10-04 10:09:40.349041,2025-10-04 10:09:40.396422,false
pln_1d3f49d61a672755efc1865c4d9a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2024-01-21 15:48:11,plan.created,2024-01-21 15:48:11.988438,Unlimited Data Plan,p9,USD,70.000000000,,true,,true,,true,1,month,2024-01-21 15:48:11,2024-01-21 15:52:35.542929,false
pln_1d3f49d61a672755efc1865c4d9a,82728d5d3cf7f35b58bc318399c2c5caf7eeadcc37f3597cb2817a9b5a87bbf3,2024-01-21 15:48:11,plan.updated,2024-08-22 07:57:45.033593,Unlimited Data Plan,p9,USD,70.000000000,,true,,true,,true,1,month,2024-08-22 07:57:45.033593,2025-10-04 10:09:40.349041,false
pln_c5b25fc1ad1cfcaf90a87b7e086a,2aeca1a6c1ecf52b28b7f7646b6fb90563a417ee3e5dc32f9d1a50d7e8b9e13a,2025-02-25 19:26:53,plan.published,2025-02-25 19:28:35.65834,Unlimited Plan,p13,USD,40.000000000,,true,,true,,true,30,day,2025-02-25 19:28:35.65834,2025-02-26 10:14:33.426678,false
pln_c5b25fc1ad1cfcaf90a87b7e086a,2aeca1a6c1ecf52b28b7f7646b6fb90563a417ee3e5dc32f9d1a50d7e8b9e13a,2025-02-25 19:26:53,plan.updated,2025-02-25 19:28:35.624102,Unlimited Plan,p13,USD,40.000000000,,true,,true,,true,30,day,2025-02-25 19:28:35.624102,2025-02-25 19:28:35.65834,false
pln_c5b25fc1ad1cfcaf90a87b7e086a,2aeca1a6c1ecf52b28b7f7646b6fb90563a417ee3e5dc32f9d1a50d7e8b9e13a,2025-02-25 19:26:53,plan.updated,2025-02-25 19:26:54.15313,Unlimited Plan,p13,USD,40.000000000,,true,,true,,true,30,day,2025-02-25 19:26:54.15313,2025-02-25 19:28:35.624102,false
pln_c5b25fc1ad1cfcaf90a87b7e086a,2aeca1a6c1ecf52b28b7f7646b6fb90563a417ee3e5dc32f9d1a50d7e8b9e13a,2025-02-25 19:26:53,plan.updated,2025-02-26 10:14:33.426678,Unlimited Plan,p13,USD,40.000000000,,true,,true,,true,30,day,2025-02-26 10:14:33.426678,2025-04-25 09:00:39.823465,false
pln_c5b25fc1ad1cfcaf90a87b7e086a,2aeca1a6c1ecf52b28b7f7646b6fb90563a417ee3e5dc32f9d1a50d7e8b9e13a,2025-02-25 19:26:53,plan.updated,2025-04-25 09:00:39.823465,Unlimited Plan,p13,USD,40.000000000,,true,,true,,true,30,day,2025-04-25 09:00:39.823465,2025-04-25 09:00:39.854671,false
pln_c5b25fc1ad1cfcaf90a87b7e086a,2aeca1a6c1ecf52b28b7f7646b6fb90563a417ee3e5dc32f9d1a50d7e8b9e13a,2025-02-25 19:26:53,plan.archived,2025-04-25 09:00:39.854671,Unlimited Plan,p13,USD,40.000000000,,true,,true,,true,30,day,2025-04-25 09:00:39.854671,,true
pln_c5b25fc1ad1cfcaf90a87b7e086a,2aeca1a6c1ecf52b28b7f7646b6fb90563a417ee3e5dc32f9d1a50d7e8b9e13a,2025-02-25 19:26:53,plan.created,2025-02-25 19:26:53.529127,Unlimited Plan,p13,USD,40.000000000,,true,,true,,true,30,day,2025-02-25 19:26:53,2025-02-25 19:26:54.15313,false
pln_7c4da200fc4cdfae5bc148a7d90b,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:41:39,plan.updated,2025-03-06 13:50:07.308186,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:50:07.308186,2025-03-06 13:50:07.364658,false
pln_7c4da200fc4cdfae5bc148a7d90b,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:41:39,plan.updated,2025-03-06 13:41:41.293319,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:41:41.293319,2025-03-06 13:41:46.224026,false
pln_7c4da200fc4cdfae5bc148a7d90b,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:41:39,plan.published,2025-03-06 13:41:46.297007,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:41:46.297007,2025-03-06 13:50:07.308186,false
pln_7c4da200fc4cdfae5bc148a7d90b,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:41:39,plan.archived,2025-03-06 13:50:07.364658,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:50:07.364658,,true
pln_7c4da200fc4cdfae5bc148a7d90b,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:41:39,plan.updated,2025-03-06 13:41:46.224026,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:41:46.224026,2025-03-06 13:41:46.297007,false
pln_7c4da200fc4cdfae5bc148a7d90b,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:41:39,plan.created,2025-03-06 13:41:39.379742,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:41:39,2025-03-06 13:41:41.293319,false
pln_d2d79ec326a0f13ae7f5a04d874b,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:50:07,plan.updated,2025-03-06 13:50:32.827314,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:50:32.827314,2025-03-06 13:50:32.863011,false
pln_d2d79ec326a0f13ae7f5a04d874b,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:50:07,plan.created,2025-03-06 13:50:07.165056,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:50:07,2025-03-06 13:50:07.874047,false
pln_d2d79ec326a0f13ae7f5a04d874b,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:50:07,plan.updated,2025-03-06 13:50:07.874047,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:50:07.874047,2025-03-06 13:50:32.827314,false
pln_d2d79ec326a0f13ae7f5a04d874b,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:50:07,plan.archived,2025-03-06 13:50:32.863011,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:50:32.863011,,true
pln_2b3e421826160662888f2a052769,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:50:32,plan.published,2025-03-06 13:50:44.349946,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:50:44.349946,2025-03-13 10:05:12.585812,false
pln_2b3e421826160662888f2a052769,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:50:32,plan.updated,2025-03-13 10:05:12.585812,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-13 10:05:12.585812,2025-03-13 10:05:12.617201,false
pln_2b3e421826160662888f2a052769,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:50:32,plan.updated,2025-03-06 13:50:44.309177,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:50:44.309177,2025-03-06 13:50:44.349946,false
pln_2b3e421826160662888f2a052769,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:50:32,plan.updated,2025-03-06 13:50:33.294121,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:50:33.294121,2025-03-06 13:50:44.309177,false
pln_2b3e421826160662888f2a052769,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:50:32,plan.created,2025-03-06 13:50:32.748389,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-06 13:50:32,2025-03-06 13:50:33.294121,false
pln_2b3e421826160662888f2a052769,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-06 13:50:32,plan.archived,2025-03-13 10:05:12.617201,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-13 10:05:12.617201,,true
pln_c8dbf924a085e023616d27c86c68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-13 10:05:12,plan.updated,2025-03-24 13:22:09.000003,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-24 13:22:09.000003,2025-03-24 13:22:09.048258,false
pln_c8dbf924a085e023616d27c86c68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-13 10:05:12,plan.updated,2025-03-13 10:05:13.753037,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-13 10:05:13.753037,2025-03-13 10:05:28.78076,false
pln_c8dbf924a085e023616d27c86c68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-13 10:05:12,plan.created,2025-03-13 10:05:12.464554,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-13 10:05:12,2025-03-13 10:05:13.753037,false
pln_c8dbf924a085e023616d27c86c68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-13 10:05:12,plan.published,2025-03-13 10:05:28.826713,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-13 10:05:28.826713,2025-03-24 13:22:09.000003,false
pln_c8dbf924a085e023616d27c86c68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-13 10:05:12,plan.archived,2025-03-24 13:22:09.048258,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-24 13:22:09.048258,,true
pln_c8dbf924a085e023616d27c86c68,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-13 10:05:12,plan.updated,2025-03-13 10:05:28.78076,Unlimited Plan,p11,USD,35.000000000,,true,,true,,true,1,month,2025-03-13 10:05:28.78076,2025-03-13 10:05:28.826713,false
pln_afbfdccab94c7b2a1cc510e34640,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:34,plan.updated,2025-03-24 13:21:53.023283,Unlimited Plan,p11,USD,1.000000000,,true,,true,,true,30,day,2025-03-24 13:21:53.023283,2025-03-24 13:21:53.062337,false
pln_afbfdccab94c7b2a1cc510e34640,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:34,plan.updated,2025-03-24 13:21:36.518015,Unlimited Plan,p11,USD,1.000000000,,true,,true,,true,30,day,2025-03-24 13:21:36.518015,2025-03-24 13:21:53.023283,false
pln_afbfdccab94c7b2a1cc510e34640,dace2786aee7632e61757b320a6fe5bff37a2e742fe5582c245665e3d0e3a84e,2025-03-24 13:21:34,plan.created,2025-03-24 13:21:34.845354,Unlimited Plan,p11,USD,1.000000000,,true,,true,,true,30,day,2025-03-24 13:21:34,2025-03-24 13:21:36.518015,false
